NOMBRE DEL PROYECTO,ETAPA_DE_PROYECTO,TIPO_DE_OBRA,AREA_CONSTRUCCION,AREA_TERRENO,PRECIO_SOLES,PRECIO_X_M2,NRO_UNIDADES,NRO_DORMITORIOS,PCT_AVANCE,NOMBRE DEL CONSTRUCTOR,TIPO CONSTRUCTOR,NRO_PISOS,URBANIZACION,SECTOR_URBANO
ACOSTA 131,1.0,Edificio de departamentos,3320,622,2044110.0,8773.0,1,3,0.05,ERGO CONSTRUCCIONES SAC,4,6,,Lima Top
ACOSTA 131,1.0,Edificio de departamentos,3320,622,911250.0,10125.0,1,1,0.05,ERGO CONSTRUCCIONES SAC,4,6,,Lima Top
ACOSTA 131,1.0,Edificio de departamentos,3320,622,1229040.0,10415.6,4,2,0.05,ERGO CONSTRUCCIONES SAC,4,6,,Lima Top
ACOSTA 131,1.0,Edificio de departamentos,3320,622,1604580.0,10419.4,4,3,0.05,ERGO CONSTRUCCIONES SAC,4,6,,Lima Top
ACOSTA 131,1.0,Edificio de departamentos,3320,622,1570440.0,6857.82,1,1,0.05,ERGO CONSTRUCCIONES SAC,4,6,,Lima Top
ACOSTA 131,1.0,Edificio de departamentos,3320,622,1916680.0,7546.0,1,2,0.05,ERGO CONSTRUCCIONES SAC,4,6,,Lima Top
ACOSTA 131,1.0,Edificio de departamentos,3320,622,1143690.0,8935.08,1,1,0.05,ERGO CONSTRUCCIONES SAC,4,6,,Lima Top
ACOSTA 131,1.0,Edificio de departamentos,3320,622,1075410.0,10440.9,1,1,0.05,ERGO CONSTRUCCIONES SAC,4,6,,Lima Top
ACOSTA 131,1.0,Edificio de departamentos,3320,622,1227440.0,9515.0,1,1,0.05,ERGO CONSTRUCCIONES SAC,4,6,,Lima Top
ACOSTA 131,1.0,Edificio de departamentos,3320,622,2958530.0,9732.0,2,3,0.05,ERGO CONSTRUCCIONES SAC,4,6,,Lima Top
ACOSTA 131,1.0,Edificio de departamentos,3320,622,1621650.0,10668.8,4,3,0.05,ERGO CONSTRUCCIONES SAC,4,6,,Lima Top
ALBA,1.0,Edificio de departamentos,5600,270,62622.0,4473.0,26,0,0.55,CONSTRUCTORA TERRAZUL SAC,4,21,,Lima Top
ALBA,1.0,Edificio de departamentos,5600,270,451388.0,9604.0,6,1,0.55,CONSTRUCTORA TERRAZUL SAC,4,21,,Lima Top
ALBA,1.0,Edificio de departamentos,5600,270,425000.0,9883.72,7,1,0.55,CONSTRUCTORA TERRAZUL SAC,4,21,,Lima Top
ALBA,1.0,Edificio de departamentos,5600,270,461520.0,9615.0,7,1,0.55,CONSTRUCTORA TERRAZUL SAC,4,21,,Lima Top
ALBA,1.0,Edificio de departamentos,5600,270,780000.0,10000.0,2,2,0.55,CONSTRUCTORA TERRAZUL SAC,4,21,,Lima Top
ALBA,1.0,Edificio de departamentos,5600,270,1185900.0,10050.0,2,3,0.55,CONSTRUCTORA TERRAZUL SAC,4,21,,Lima Top
ALBA,1.0,Edificio de departamentos,5600,270,887145.0,11089.3,23,3,0.55,CONSTRUCTORA TERRAZUL SAC,4,21,,Lima Top
ALBA,1.0,Edificio de departamentos,5600,270,681884.0,11364.7,13,2,0.55,CONSTRUCTORA TERRAZUL SAC,4,21,,Lima Top
ALBA,1.0,Edificio de departamentos,5600,270,496230.0,9730.0,19,2,0.55,CONSTRUCTORA TERRAZUL SAC,4,21,,Lima Top
ALTAVIA,1.0,Edificio de departamentos,2380,476,51210.0,3939.23,32,0,0.3,INVERSIONES DICON SAC,4,8,,Lima Top
ALTAVIA,1.0,Edificio de departamentos,2380,476,1304150.0,6424.37,1,3,0.3,INVERSIONES DICON SAC,4,8,,Lima Top
ALTAVIA,1.0,Edificio de departamentos,2380,476,1540800.0,7200.0,1,3,0.3,INVERSIONES DICON SAC,4,8,,Lima Top
ALTAVIA,1.0,Edificio de departamentos,2380,476,802256.0,6916.0,7,3,0.3,INVERSIONES DICON SAC,4,8,,Lima Top
ALTAVIA,1.0,Edificio de departamentos,2380,476,761322.0,7391.48,7,3,0.3,INVERSIONES DICON SAC,4,8,,Lima Top
ALTAVISTA ARANIBAR ,1.0,Edificio de departamentos,12550,460,784000.0,12250.0,33,2,0.15,RESIDENCIAL ALTAVISTA ARANIBAR SAC,4,22,,Lima Top
